#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
345.257892,1000,3760.079615
346.211292,1000,3782.553301
342.598203,1000,3803.197607
343.769206,1000,3823.292019
346.041609,1000,3838.644868
342.356261,1000,3853.339576
344.29613,1000,3866.749292
343.560782,1000,3878.985482
347.389008,1000,3892.251331
341.052901,1000,3910.197278
340.169521,1000,3928.336283
340.7831,1000,3945.104462
353.35864,1000,3965.247746
339.893314,1000,3986.905352
339.481647,1000,4011.576788
344.419211,1000,4026.181568
343.41226,1000,4048.770115
345.670062,1000,4073.074835
347.135478,1000,4086.126195
343.445881,1000,4098.428884
345.742857,1000,4110.610983
346.963009,1000,4123.202109
347.667195,1000,4135.822294
347.575155,1000,4148.035609
343.791669,1000,4160.142826
345.167749,1000,4172.371503
346.821439,1000,4190.992739
345.409588,1000,4206.07304
345.37601,1000,4218.532291
346.493967,1000,4232.270478
350.107004,1000,4244.886906
344.358021,1000,4258.096095
341.58784,1000,4272.902969
344.677748,1000,4291.515746
345.567966,1000,4306.378273
345.801251,1000,4321.182334
340.00518,1000,4335.778746
343.291553,1000,4352.043305
347.186128,1000,4367.134504
345.725217,1000,4382.242359
341.443297,1000,4397.417455
348.954413,1000,4412.427304
344.68859,1000,4429.393777
342.324452,1000,4444.335861
352.015423,1000,4469.185617
346.280811,1000,4487.359849
342.261355,1000,4502.146365
350.95473,1000,4517.831779
343.60541,1000,4533.897644
340.157567,1000,4549.145081
341.007081,1000,4564.834517
344.339235,1000,4580.387198
342.114554,1000,4597.848874
352.536898,1000,4613.012665
348.605973,1000,4628.558533
343.735411,1000,4644.180169
346.384522,1000,4663.414181
346.829902,1000,4684.056401
347.174984,1000,4699.454695
338.875593,1000,4714.540091
341.83234,1000,4729.738263
343.804384,1000,4747.082232
342.264369,1000,4763.398742
343.743391,1000,4777.655109
346.937502,1000,4792.641899
343.346915,1000,4806.827369
342.765345,1000,4821.029577
345.451639,1000,4835.167872
339.734941,1000,4849.92013
338.97432,1000,4864.709044
342.439448,1000,4879.612977
344.947257,1000,4894.372879
346.098348,1000,4909.251413
348.463173,1000,4924.699768
340.980096,1000,4939.842125
347.193519,1000,4955.128568
342.419156,1000,4970.303973
342.161769,1000,4988.075507
351.630425,1000,5003.237004
348.861289,1000,5018.294346
347.42776,1000,5033.503953
337.696542,1000,5048.635455
343.797999,1000,5064.731753
343.573325,1000,5079.738284
343.06215,1000,5094.990838
351.230225,1000,5109.904558
345.810136,1000,5125.199077
349.1064,1000,5140.198366
343.011818,1000,5155.34973
345.14637,1000,5170.348542
345.200043,1000,5185.339676
344.993181,1000,5200.420383
344.320889,1000,5215.519802
341.725812,1000,5230.724973
341.334157,1000,5245.63908
342.434812,1000,5260.555741
349.240183,1000,5275.510728
350.330272,1000,5290.444213
345.714833,1000,5305.183592
343.733326,1000,5320.177607
352.676926,1000,5335.25087
343.676436,1000,5350.185719
344.191255,1000,5367.936981
348.428421,1000,5383.22321
349.957206,1000,5398.442599
349.514833,1000,5413.53869
339.805943,1000,5428.440842
340.111828,1000,5443.45386
342.491854,1000,5461.186368
343.926889,1000,5476.376777
343.429994,1000,5491.310991
347.696896,1000,5506.417336
343.570544,1000,5521.22269
341.74018,1000,5536.410767
345.393719,1000,5551.43234
355.256127,1000,5566.599367
342.811554,1000,5581.570809
345.627065,1000,5596.849978
348.832596,1000,5611.576256
344.56831,1000,5626.39135
344.720149,1000,5641.375774
345.617397,1000,5656.535669
343.047986,1000,5671.490004
352.647568,1000,5686.900793
349.124247,1000,5702.102711
351.21895,1000,5717.356404
343.706065,1000,5732.569875
350.377988,1000,5750.214318
344.89951,1000,5765.118842
344.13618,1000,5780.277085
350.575434,1000,5795.634107
346.291114,1000,5810.764114
345.662735,1000,5825.664052
349.584807,1000,5841.235997
334.193654,1000,5856.552053
337.465489,1000,5871.758039
339.199033,1000,5886.887291
341.906091,1000,5901.96543
350.383205,1000,5917.060959
349.302849,1000,5932.109469
341.651677,1000,5947.314348
341.744159,1000,5962.690327
348.154472,1000,5978.181108
344.810063,1000,5993.407132
345.257259,1000,6008.906683
343.975772,1000,6024.028261
350.235284,1000,6039.181757
344.732314,1000,6054.247657
350.767142,1000,6069.586784
346.091331,1000,6084.891154
343.969441,1000,6100.507073
343.071136,1000,6115.580487
342.340332,1000,6133.424237
342.143262,1000,6148.421867
339.982831,1000,6163.538227
343.804188,1000,6178.636237
341.587271,1000,6193.91368
341.87877,1000,6209.00111
344.416889,1000,6228.574874
344.062738,1000,6244.963812
344.926337,1000,6260.168057
339.035446,1000,6275.623554
340.862643,1000,6291.227939
343.343963,1000,6307.063779
342.168015,1000,6322.386679
343.180451,1000,6338.132387
343.829107,1000,6354.040668
347.09693,1000,6369.696961
338.54961,1000,6385.047317
338.505188,1000,6400.335876
340.639759,1000,6415.487675
339.372256,1000,6430.858322
349.74475,1000,6446.055114
343.98913,1000,6461.24213
339.101368,1000,6476.567618
341.005959,1000,6491.984426
346.603705,1000,6507.121766
345.985413,1000,6525.254651
345.982712,1000,6540.902916
337.864902,1000,6556.202987
349.351645,1000,6571.511901
342.105589,1000,6587.461647
346.515924,1000,6603.358242
344.798144,1000,6618.914711
341.480956,1000,6634.362698
341.317861,1000,6652.796004
349.517095,1000,6672.971497
342.588835,1000,6694.496999
341.518776,1000,6711.667306
344.588375,1000,6728.575775
348.813223,1000,6744.256798
340.313025,1000,6759.409226
341.514118,1000,6774.788973
344.498001,1000,6790.117587
342.754703,1000,6805.980374
344.289977,1000,6821.820282
353.558762,1000,6837.687369
346.258545,1000,6853.044926
347.649232,1000,6868.716248
343.398526,1000,6883.962975
342.719874,1000,6899.024916
342.655487,1000,6914.108265
351.390915,1000,6932.393433
345.098029,1000,6949.51407
344.098336,1000,6970.427058
345.92777,1000,6987.616099
344.107747,1000,7005.68876
342.423268,1000,7022.281092
347.892929,1000,7038.521644
349.023116,1000,7054.680133
351.478023,1000,7070.224162
351.896908,1000,7088.557524
350.40266,1000,7105.315876
338.660052,1000,7121.787837
340.726842,1000,7138.109474
344.078619,1000,7153.995039
342.304914,1000,7170.131459
342.385616,1000,7186.357697
348.986331,1000,7202.582376
344.02024,1000,7218.739961
344.284874,1000,7238.406994
351.163677,1000,7256.158695
347.035579,1000,7269.793886
341.748009,1000,7284.096966
343.92085,1000,7319.544712
350.945908,1000,7333.470805
339.746401,1000,7347.087642
344.275363,1000,7365.042776
342.580962,1000,7378.025433
350.888772,1000,7391.689597
342.279736,1000,7404.378759
343.543725,1000,7416.98786
340.698627,1000,7429.613316
343.584135,1000,7441.681023
352.844971,1000,7453.715967
341.666405,1000,7467.014767
342.487716,1000,7482.896947
352.083769,1000,7496.949767
339.838614,1000,7510.550908
344.520004,1000,7525.518445
342.785533,1000,7540.69016
344.88068,1000,7556.822855
344.605663,1000,7570.452087
342.627441,1000,7584.712855
349.756488,1000,7598.016098
343.519672,1000,7611.691798
344.788693,1000,7625.986304
343.768215,1000,7639.759714
352.612126,1000,7653.582333
343.234659,1000,7667.353303
346.654367,1000,7681.3449
345.821501,1000,7695.070526
346.446822,1000,7711.729762
344.910486,1000,7728.383074
344.769423,1000,7743.624922
351.293125,1000,7758.695252
347.676175,1000,7773.514378
345.742908,1000,7787.922
344.089168,1000,7802.380133
347.571764,1000,7816.71124
343.894361,1000,7830.966709
